7096,仲恺农业工程学院站	805,谢村站 
7069,石井大道中	805,谢村站 
2088,车陂高架桥侧站	805,谢村站 
1984,笔岗路站	805,谢村站 
2086,潮汕学院站	805,谢村站 
2082,朝阳开发区站	805,谢村站 
2077,朝亮南路站	805,谢村站 
2076,朝亮南路站	805,谢村站 
2053,岑境村站	805,谢村站 
2046,策边村站	805,谢村站 
2045,策边村站	805,谢村站 
2040,沧头中路站	805,谢村站 
2039,沧头中路站	805,谢村站 
2038,沧头村总站	805,谢村站 
2037,沧联总站	805,谢村站 
2036,沧联小学站	805,谢村站 
2035,沧联小学站	805,谢村站 
2034,沧联市场站	805,谢村站 
2033,沧联市场站	805,谢村站 
2032,沧联市场大街站	805,谢村站 
2031,沧联市场大街站	805,谢村站 
2030,沧联社区站	805,谢村站 
2029,沧联社区站	805,谢村站 
2024,彩频路站	805,谢村站 
2015,布岭路口站	805,谢村站 
2014,布岭路口站	805,谢村站 
2013,布岭村站	805,谢村站 
2012,布岭村站	805,谢村站 
2011,博罗村站	805,谢村站 
1999,滨河路站	805,谢村站 
1998,滨河路站	805,谢村站 
1993,边防指挥学校站	805,谢村站 
1992,边防指挥学校站	805,谢村站 
1991,碧映路西站	805,谢村站 
1990,碧映路西站	805,谢村站 
1989,碧映路东站	805,谢村站 
1988,碧映路东站	805,谢村站 
1987,碧山村总站	805,谢村站 
6862,河边大道站	805,谢村站 
6859,粤溪牌坊站	805,谢村站 
6844,上步大道口站	805,谢村站 
10274,东石牌坊站	805,谢村站 
10269,罗岗村总站	805,谢村站 
10229,榕树头路口站	805,谢村站 
10192,天盈路站	805,谢村站 
10173,东苑小区站2	805,谢村站 
10142,新村口站	805,谢村站 
10097,新南街站	805,谢村站 
10069,石中路口站 	805,谢村站 
6661,夏良村委站	805,谢村站 
6622,九潭村站	805,谢村站 
6618,杨山村站	805,谢村站 
6611,叶边市场站	805,谢村站 
10068,石中路口站	805,谢村站 
6597,井岗大道北街口站	805,谢村站 
6588,罗溪中路站	805,谢村站 
9740,丽美酒店站	805,谢村站 
9660,新丰路中(禾丰新村)站	805,谢村站 
9658,新丰路(布岭村)站	805,谢村站 
9595,人和华盛南路口站	805,谢村站 
5957,开泰大道(瑞和路口)站	805,谢村站 
5956,开泰大道(科学城商务中心)站	805,谢村站 
5955,开泰大道(科学城商务中心)站	805,谢村站 
5954,开泰大道(开源路口)站	805,谢村站 
5948,开泰大道(骏达路口)站	805,谢村站 
